Id,gratuidade,sentenca
00000024320098151171,False,Improcedente
00000033220128150101,False,Nenhuma Sentença
00000039820108150231,False,Nenhuma Sentença
00000063520158150051,False,Procedente
00000065620068150631,False,Parcialmente
00000104319948150331,False,Nenhuma Sentença
00000107120098150281,False,Improcedente
00000112220188152001,True,Outros
00000122020138150081,False,Nenhuma Sentença
00000152920168150611,True,Procedente
00000155719978150041,False,Outros
00000182520138150211,False,Procedente
00000191220128150351,False,Extinto
00000193220168150881,False,Improcedente
00000199220118150271,False,Procedente
00000205120118150021,False,Extinto
00000233620108150281,False,Nenhuma Sentença
00000249420128150331,False,Outros
00000250620188152001,False,Extinto
00000265819998150351,False,Outros
00000285820168150601,False,Nenhuma Sentença
00000294220128150291,False,Procedente
00000333020138150781,False,Parcialmente
00000334820158150041,False,Outros
00000346320108150411,False,Improcedente
00000347020158152001,False,Improcedente
00000387220108150291,False,Nenhuma Sentença
00000396020158151171,False,Extinto
00000400820128150021,False,Nenhuma Sentença
00000428019998150781,False,Extinto
00000428220138150751,False,Parcialmente
00000432520048150091,False,Extinto
00000448520128150331,False,Nenhuma Sentença
00000449720168150411,False,Extinto
00000452920168150461,False,Parcialmente
00000461120138150011,False,Nenhuma Sentença
00000491320038150141,False,Extinto
00000494720128150351,False,Nenhuma Sentença
00000525620118150021,False,Procedente
00000527020158150941,False,Outros
00000537020138150021,False,Parcialmente
00000567120168150101,False,Improcedente
00000582320138150141,False,Acordo
00000594220158150301,False,Parcialmente
00000625419858150331,False,Extinto
00000701020188152001,False,Extinto
00000718620158150291,False,Extinto
00000719120158152003,False,Extinto
00000719719958150611,True,Extinto
00000737720128150221,False,Procedente
00000746320138150371,False,Nenhuma Sentença
00000747420128150411,False,Improcedente
00000788920158152001,True,Improcedente
00000837220078150391,False,Outros
00000842720168150881,False,Extinto
00000861820158150271,False,Procedente
00000881620158150391,False,Improcedente
00000905820168150291,False,Improcedente
00000950320158150231,False,Improcedente
00000961020108150151,False,Extinto
00000987420158152003,False,Extinto
00000988220098150581,True,Extinto
00001010720128150751,False,Nenhuma Sentença
00001011920158150131,False,Extinto
00001021820078150411,False,Outros
00001029820138150381,False,Outros
00001036420168150321,False,Acordo
00001041720168150461,False,Improcedente
00001063520078150741,False,Nenhuma Sentença
00001064220098150231,False,Extinto
00001064420188150581,False,Nenhuma Sentença
00001081420158150421,True,Improcedente
00001106920158150231,False,Extinto
00001113820118150411,False,Parcialmente
00001116520078150221,False,Outros
00001132520168150381,False,Extinto
