0000790-91.2014.8.15.0521
0000323-56.2015.8.15.0981
0815288-11.2019.8.15.2001
0017826-81.2008.8.15.2001
0001609-41.1999.8.15.0331
0802355-62.2020.8.15.0031
0802374-68.2020.8.15.0031
0002257-05.2014.8.15.0231
0819147-55.2018.8.15.0001
0800211-79.2018.8.15.0001
0802362-54.2020.8.15.0031
0741331-94.2007.8.15.2001
0058038-86.2004.8.15.2001
0802357-32.2020.8.15.0031
0801204-65.2018.8.15.0311
0037518-61.2011.8.15.2001
0100133-53.2012.8.15.2001
0042729-15.2010.8.15.2001
0800587-91.2017.8.15.0521
0800807-09.2019.8.15.0331
0831205-41.2017.8.15.2001
0820477-72.2016.8.15.2001
0842219-56.2016.8.15.2001
0835532-63.2016.8.15.2001
0800260-71.2018.8.15.0761
0126909-90.2012.8.15.2001
0846537-82.2016.8.15.2001
0832507-08.2017.8.15.2001
0001585-27.2013.8.15.0491
0802377-20.2019.8.15.0981
0839576-57.2018.8.15.2001
0016998-41.2015.8.15.2001
0848057-09.2018.8.15.2001
0046421-17.2013.8.15.2001
0003365-36.2009.8.15.0331
0802551-57.2019.8.15.0131
0006675-74.2015.8.15.2001
0845836-24.2016.8.15.2001
0802599-49.2020.8.15.0141
0800495-98.2020.8.15.0201
0804917-68.2017.8.15.0251
0003264-28.2005.8.15.0011
0049165-53.2011.8.15.2001
0000496-87.2016.8.15.0741
0835920-97.2015.8.15.2001
0808037-10.2017.8.15.2001
0833783-74.2017.8.15.2001
0800853-19.2020.8.15.0151
0753243-88.2007.8.15.2001
0800257-19.2018.8.15.0761
0800092-08.2019.8.15.0091
0000831-12.2009.8.15.0011
0003612-81.1991.8.15.2001
0816641-91.2016.8.15.2001
0053345-10.2014.8.15.2001
0670743-33.2005.8.15.2001
0852363-55.2017.8.15.2001
0825905-16.2019.8.15.0001
0828719-49.2018.8.15.2001
0001950-26.2015.8.15.0131
0838029-79.2018.8.15.2001
0013875-79.2001.8.15.0011
0824575-61.2020.8.15.2001
0801859-38.2018.8.15.0731
0802719-05.2019.8.15.0731
0800456-22.2020.8.15.0001
0807664-71.2020.8.15.2001
0802247-33.2020.8.15.0031
0011709-30.2015.8.15.2001
0015811-95.2015.8.15.2001
0802353-92.2020.8.15.0031
0800367-66.2019.8.15.0281
0808118-37.2020.8.15.0001
0821152-35.2016.8.15.2001
0809627-22.2017.8.15.2001
0029734-33.2011.8.15.2001
0006239-86.2013.8.15.2001
0801892-64.2018.8.15.0331
0019649-22.2010.8.15.2001
0019030-58.2011.8.15.2001
0800310-59.2019.8.15.0051
0801743-73.2016.8.15.2001
0010349-60.2015.8.15.2001
0846530-90.2016.8.15.2001
0813346-70.2021.8.15.2001
0801437-08.2020.8.15.0371
0819876-32.2017.8.15.2001
0861945-74.2020.8.15.2001
0800283-17.2018.8.15.0761
0869018-34.2019.8.15.2001
0800538-38.2019.8.15.0761
0808570-81.2019.8.15.0001
0808729-92.2017.8.15.0001
0019016-74.2011.8.15.2001
0833000-63.2020.8.15.0001
0822183-56.2017.8.15.2001
0800716-28.2017.8.15.0091
0020927-92.2009.8.15.2001
0802313-83.2020.8.15.0331
0801306-25.2019.8.15.0191
0000040-77.2015.8.15.2001
0042927-12.2011.8.15.2003
0800386-15.2020.8.15.0321
0001133-75.2014.8.15.0331
0070580-87.2014.8.15.2001
0861343-25.2016.8.15.2001
0834003-43.2015.8.15.2001
0809745-95.2017.8.15.2001
0006394-79.2012.8.15.0011
0863839-56.2018.8.15.2001
0821778-54.2016.8.15.2001
0855507-71.2016.8.15.2001
0809975-98.2021.8.15.2001
0800019-73.2018.8.15.0381
0007935-55.2009.8.15.0011
0012003-82.2015.8.15.2001
0800387-81.2017.8.15.0231
0058619-23.2012.8.15.2001
0800457-91.2017.8.15.1171
0049606-63.2013.8.15.2001
0800023-29.2019.8.15.0041
0802003-79.2020.8.15.0201
0811466-97.2019.8.15.0001
0811805-69.2016.8.15.2003
0812229-78.2020.8.15.2001
