Processo_ID,Primeiro Resultado,Todos os Resultados,Total Vereditos
08321375320228152001,Extinto,Extinto,1
08497511320188152001,Nenhuma Sentença,-,-
08100129120228152001,Extinto,Extinto,1
08095154320238152001,Nenhuma Sentença,-,-
08288022620228152001,Ganho,Ganho,1
08185529420238152001,Acordo,Acordo,1
08517011820228152001,Acordo,Acordo,1
08207021920218152001,Extinto,Extinto,1
08456318220228152001,Extinto,Extinto,1
08294062120218152001,Ganho,Ganho | Ganho,2
08174630720218152001,Nenhuma Sentença,-,-
08325007420218152001,Acordo,Acordo,1
08114857820238152001,Extinto,Extinto,1
08338079720208152001,Nenhuma Sentença,-,-
08496971820168152001,Perdido,Perdido,1
08370013720228152001,Extinto,Extinto,1
08089779620228152001,Ganho,Ganho,1
08148143520228152001,Acordo,Acordo,1
08326770420228152001,Extinto,Extinto,1
08080639520238152001,Acordo,Acordo,1
08540561120168152001,Perdido,Perdido | Perdido | Perdido,3
08124237320238152001,Acordo,Acordo,1
08574813620228152001,Extinto,Extinto,1
08029730820208152003,Extinto,Extinto,1
08333592220238152001,Nenhuma Sentença,-,-
08497078620218152001,Extinto,Extinto,1
08080434020198152003,Ganho,Ganho,1
08381471620228152001,Nenhuma Sentença,-,-
08515750220218152001,Ganho,Ganho,1
08354436420218152001,Extinto,Extinto,1
08324349420218152001,Outros,Outros | Outros,2
08478039420228152001,Extinto,Extinto,1
08061406820228152001,Extinto,Extinto,1
08070278620218152001,Perdido,Perdido | Perdido,2
08070970620218152001,Extinto,Extinto | Extinto,2
08471892620218152001,Ganho,Ganho,1
00003808420168152001,Acordo,Acordo,1
08013171720238152001,Nenhuma Sentença,-,-
00041233920158152001,Ganho,Ganho,1
